"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20804","Client @App login","chromium","2026-06-23","passed","2026-06-23","","clientApp-PO.spec.ts","",""
"","20958","@App login","chromium","2026-06-23","passed","2026-06-23","","clientapp.spec.ts","",""
